data_coleta,observado,previsao,lags,tecnica
2015-09-30,3.0,4.0,3,Baseline
2015-11-30,4.0,3.0,3,Baseline
2016-01-31,3.0,3.0,3,Baseline
2016-07-31,4.0,3.0,3,Baseline
2016-09-30,3.0,3.0,3,Baseline
2016-10-31,3.0,3.0,3,Baseline
2016-11-30,3.0,3.0,3,Baseline
2017-07-31,3.0,3.0,3,Baseline
2017-09-30,3.0,3.0,3,Baseline
2017-11-30,3.0,3.0,3,Baseline
2018-05-31,3.0,3.0,3,Baseline
2018-08-31,3.0,3.0,3,Baseline
2018-09-30,3.0,3.0,3,Baseline
2018-11-30,3.0,3.5,3,Baseline
2019-09-30,3.0,3.0,3,Baseline
2009-10-31,3.0,3.0,4,Baseline
2009-11-30,3.0,3.0,4,Baseline
2010-03-31,3.0,4.0,4,Baseline
2010-05-31,3.0,3.0,4,Baseline
2010-07-31,3.0,3.0,4,Baseline
2010-09-30,3.0,3.0,4,Baseline
2010-11-30,4.0,3.0,4,Baseline
2011-05-31,3.0,3.0,4,Baseline
2011-06-30,3.0,3.0,4,Baseline
2011-07-31,3.0,3.0,4,Baseline
2011-08-31,3.0,3.0,4,Baseline
2011-11-30,3.0,4.0,4,Baseline
2012-01-31,3.0,3.0,4,Baseline
2012-05-31,3.0,3.0,4,Baseline
2012-09-30,3.0,3.0,4,Baseline
2012-11-30,4.0,3.0,4,Baseline
2013-04-30,3.0,3.0,4,Baseline
2013-05-31,3.0,3.0,4,Baseline
2013-06-30,3.0,3.0,4,Baseline
2013-09-30,3.0,3.0,4,Baseline
2013-10-31,3.0,3.0,4,Baseline
2013-11-30,3.0,3.0,4,Baseline
2014-01-31,3.0,3.0,4,Baseline
2014-05-31,3.0,3.0,4,Baseline
2014-07-31,3.0,3.0,4,Baseline
2014-09-30,3.0,3.0,4,Baseline
2014-11-30,3.0,3.0,4,Baseline
2014-12-31,3.0,3.0,4,Baseline
2015-01-31,3.0,4.0,4,Baseline
2015-05-31,3.0,3.0,4,Baseline
2015-09-30,3.0,4.0,4,Baseline
2015-11-30,3.0,3.0,4,Baseline
2016-01-31,4.0,3.0,4,Baseline
2016-07-31,3.0,3.0,4,Baseline
2016-09-30,4.0,3.0,4,Baseline
2016-10-31,3.0,3.0,4,Baseline
2016-11-30,3.0,3.0,4,Baseline
2017-07-31,3.0,3.0,4,Baseline
2017-09-30,3.0,3.0,4,Baseline
2017-11-30,3.0,3.0,4,Baseline
2018-05-31,3.0,3.0,4,Baseline
2018-08-31,3.0,3.0,4,Baseline
2018-09-30,3.0,3.0,4,Baseline
2018-11-30,3.0,3.5,4,Baseline
2019-09-30,3.0,3.0,4,Baseline
2009-11-30,3.0,3.0,5,Baseline
2010-03-31,3.0,4.0,5,Baseline
2010-05-31,3.0,3.0,5,Baseline
2010-07-31,3.0,3.0,5,Baseline
2010-09-30,3.0,3.0,5,Baseline
2010-11-30,3.0,3.0,5,Baseline
2011-05-31,4.0,3.0,5,Baseline
2011-06-30,3.0,3.0,5,Baseline
2011-07-31,3.0,3.0,5,Baseline
2011-08-31,3.0,3.0,5,Baseline
2011-11-30,3.0,4.0,5,Baseline
2012-01-31,3.0,3.0,5,Baseline
2012-05-31,3.0,3.0,5,Baseline
2012-09-30,3.0,3.0,5,Baseline
2012-11-30,3.0,3.0,5,Baseline
2013-04-30,4.0,3.0,5,Baseline
2013-05-31,3.0,3.0,5,Baseline
2013-06-30,3.0,3.0,5,Baseline
2013-09-30,3.0,3.0,5,Baseline
2013-10-31,3.0,3.0,5,Baseline
2013-11-30,3.0,3.0,5,Baseline
2014-01-31,3.0,3.0,5,Baseline
2014-05-31,3.0,3.0,5,Baseline
2014-07-31,3.0,3.0,5,Baseline
2014-09-30,3.0,3.0,5,Baseline
2014-11-30,3.0,3.0,5,Baseline
2014-12-31,3.0,3.0,5,Baseline
2015-01-31,3.0,4.0,5,Baseline
2015-05-31,3.0,3.0,5,Baseline
2015-09-30,3.0,4.0,5,Baseline
2015-11-30,3.0,3.0,5,Baseline
2016-01-31,3.0,3.0,5,Baseline
2016-07-31,4.0,3.0,5,Baseline
2016-09-30,3.0,3.0,5,Baseline
2016-10-31,4.0,3.0,5,Baseline
2016-11-30,3.0,3.0,5,Baseline
2017-07-31,3.0,3.0,5,Baseline
2017-09-30,3.0,3.0,5,Baseline
2017-11-30,3.0,3.0,5,Baseline
2018-05-31,3.0,3.0,5,Baseline
2018-08-31,3.0,3.0,5,Baseline
2018-09-30,3.0,3.0,5,Baseline
2018-11-30,3.0,3.5,5,Baseline
2019-09-30,3.0,3.0,5,Baseline
2010-03-31,3.0,4.0,6,Baseline
2010-05-31,3.0,3.0,6,Baseline
2010-07-31,3.0,3.0,6,Baseline
2010-09-30,3.0,3.0,6,Baseline
2010-11-30,3.0,3.0,6,Baseline
2011-05-31,3.0,3.0,6,Baseline
2011-06-30,4.0,3.0,6,Baseline
2011-07-31,3.0,3.0,6,Baseline
2011-08-31,3.0,3.0,6,Baseline
2011-11-30,3.0,4.0,6,Baseline
2012-01-31,3.0,3.0,6,Baseline
2012-05-31,3.0,3.0,6,Baseline
2012-09-30,3.0,3.0,6,Baseline
2012-11-30,3.0,3.0,6,Baseline
2013-04-30,3.0,3.0,6,Baseline
2013-05-31,4.0,3.0,6,Baseline
2013-06-30,3.0,3.0,6,Baseline
2013-09-30,3.0,3.0,6,Baseline
2013-10-31,3.0,3.0,6,Baseline
2013-11-30,3.0,3.0,6,Baseline
2014-01-31,3.0,3.0,6,Baseline
2014-05-31,3.0,3.0,6,Baseline
2014-07-31,3.0,3.0,6,Baseline
2014-09-30,3.0,3.0,6,Baseline
2014-11-30,3.0,3.0,6,Baseline
2014-12-31,3.0,3.0,6,Baseline
2015-01-31,3.0,4.0,6,Baseline
2015-05-31,3.0,3.0,6,Baseline
2015-09-30,3.0,4.0,6,Baseline
2015-11-30,3.0,3.0,6,Baseline
2016-01-31,3.0,3.0,6,Baseline
2016-07-31,3.0,3.0,6,Baseline
2016-09-30,4.0,3.0,6,Baseline
2016-10-31,3.0,3.0,6,Baseline
2016-11-30,4.0,3.0,6,Baseline
2017-07-31,3.0,3.0,6,Baseline
2017-09-30,3.0,3.0,6,Baseline
2017-11-30,3.0,3.0,6,Baseline
2018-05-31,3.0,3.0,6,Baseline
2018-08-31,3.0,3.0,6,Baseline
2018-09-30,3.0,3.0,6,Baseline
2018-11-30,3.0,3.5,6,Baseline
2019-09-30,3.0,3.0,6,Baseline
2010-05-31,3.0,3.0,7,Baseline
2010-07-31,3.0,3.0,7,Baseline
2010-09-30,3.0,3.0,7,Baseline
2010-11-30,3.0,3.0,7,Baseline
2011-05-31,3.0,3.0,7,Baseline
2011-06-30,3.0,3.0,7,Baseline
2011-07-31,4.0,3.0,7,Baseline
2011-08-31,3.0,3.0,7,Baseline
2011-11-30,3.0,4.0,7,Baseline
2012-01-31,3.0,3.0,7,Baseline
2012-05-31,3.0,3.0,7,Baseline
2012-09-30,3.0,3.0,7,Baseline
2012-11-30,3.0,3.0,7,Baseline
2013-04-30,3.0,3.0,7,Baseline
2013-05-31,3.0,3.0,7,Baseline
2013-06-30,4.0,3.0,7,Baseline
2013-09-30,3.0,3.0,7,Baseline
2013-10-31,3.0,3.0,7,Baseline
2013-11-30,3.0,3.0,7,Baseline
2014-01-31,3.0,3.0,7,Baseline
2014-05-31,3.0,3.0,7,Baseline
2014-07-31,3.0,3.0,7,Baseline
2014-09-30,3.0,3.0,7,Baseline
2014-11-30,3.0,3.0,7,Baseline
2014-12-31,3.0,3.0,7,Baseline
2015-01-31,3.0,4.0,7,Baseline
2015-05-31,3.0,3.0,7,Baseline
2015-09-30,3.0,4.0,7,Baseline
2015-11-30,3.0,3.0,7,Baseline
2016-01-31,3.0,3.0,7,Baseline
2016-07-31,3.0,3.0,7,Baseline
2016-09-30,3.0,3.0,7,Baseline
2016-10-31,4.0,3.0,7,Baseline
2016-11-30,3.0,3.0,7,Baseline
2017-07-31,4.0,3.0,7,Baseline
2017-09-30,3.0,3.0,7,Baseline
2017-11-30,3.0,3.0,7,Baseline
2018-05-31,3.0,3.0,7,Baseline
2018-08-31,3.0,3.0,7,Baseline
2018-09-30,3.0,3.0,7,Baseline
2018-11-30,3.0,3.5,7,Baseline
2019-09-30,3.0,3.0,7,Baseline
2010-07-31,3.0,3.0,8,Baseline
2010-09-30,3.0,3.0,8,Baseline
2010-11-30,3.0,3.0,8,Baseline
2011-05-31,3.0,3.0,8,Baseline
2011-06-30,3.0,3.0,8,Baseline
2011-07-31,3.0,3.0,8,Baseline
2011-08-31,4.0,3.0,8,Baseline
2011-11-30,3.0,4.0,8,Baseline
2012-01-31,3.0,3.0,8,Baseline
2012-05-31,3.0,3.0,8,Baseline
2012-09-30,3.0,3.0,8,Baseline
2012-11-30,3.0,3.0,8,Baseline
2013-04-30,3.0,3.0,8,Baseline
2013-05-31,3.0,3.0,8,Baseline
2013-06-30,3.0,3.0,8,Baseline
2013-09-30,4.0,3.0,8,Baseline
2013-10-31,3.0,3.0,8,Baseline
2013-11-30,3.0,3.0,8,Baseline
2014-01-31,3.0,3.0,8,Baseline
2014-05-31,3.0,3.0,8,Baseline
2014-07-31,3.0,3.0,8,Baseline
2014-09-30,3.0,3.0,8,Baseline
2014-11-30,3.0,3.0,8,Baseline
2014-12-31,3.0,3.0,8,Baseline
2015-01-31,3.0,4.0,8,Baseline
2015-05-31,3.0,3.0,8,Baseline
2015-09-30,3.0,4.0,8,Baseline
2015-11-30,3.0,3.0,8,Baseline
2016-01-31,3.0,3.0,8,Baseline
2016-07-31,3.0,3.0,8,Baseline
2016-09-30,3.0,3.0,8,Baseline
2016-10-31,3.0,3.0,8,Baseline
2016-11-30,4.0,3.0,8,Baseline
2017-07-31,3.0,3.0,8,Baseline
2017-09-30,4.0,3.0,8,Baseline
2017-11-30,3.0,3.0,8,Baseline
2018-05-31,3.0,3.0,8,Baseline
2018-08-31,3.0,3.0,8,Baseline
2018-09-30,3.0,3.0,8,Baseline
2018-11-30,3.0,3.5,8,Baseline
2019-09-30,3.0,3.0,8,Baseline
2010-09-30,3.0,3.0,9,Baseline
2010-11-30,3.0,3.0,9,Baseline
2011-05-31,3.0,3.0,9,Baseline
2011-06-30,3.0,3.0,9,Baseline
2011-07-31,3.0,3.0,9,Baseline
2011-08-31,3.0,3.0,9,Baseline
2011-11-30,4.0,4.0,9,Baseline
2012-01-31,3.0,3.0,9,Baseline
2012-05-31,3.0,3.0,9,Baseline
2012-09-30,3.0,3.0,9,Baseline
2012-11-30,3.0,3.0,9,Baseline
2013-04-30,3.0,3.0,9,Baseline
2013-05-31,3.0,3.0,9,Baseline
2013-06-30,3.0,3.0,9,Baseline
2013-09-30,3.0,3.0,9,Baseline
2013-10-31,4.0,3.0,9,Baseline
2013-11-30,3.0,3.0,9,Baseline
2014-01-31,3.0,3.0,9,Baseline
2014-05-31,3.0,3.0,9,Baseline
2014-07-31,3.0,3.0,9,Baseline
2014-09-30,3.0,3.0,9,Baseline
2014-11-30,3.0,3.0,9,Baseline
2014-12-31,3.0,3.0,9,Baseline
2015-01-31,3.0,4.0,9,Baseline
2015-05-31,3.0,3.0,9,Baseline
2015-09-30,3.0,4.0,9,Baseline
2015-11-30,3.0,3.0,9,Baseline
2016-01-31,3.0,3.0,9,Baseline
2016-07-31,3.0,3.0,9,Baseline
2016-09-30,3.0,3.0,9,Baseline
2016-10-31,3.0,3.0,9,Baseline
2016-11-30,3.0,3.0,9,Baseline
2017-07-31,4.0,3.0,9,Baseline
2017-09-30,3.0,3.0,9,Baseline
2017-11-30,4.0,3.0,9,Baseline
2018-05-31,3.0,3.0,9,Baseline
2018-08-31,3.0,3.0,9,Baseline
2018-09-30,3.0,3.0,9,Baseline
2018-11-30,3.0,3.5,9,Baseline
2019-09-30,3.0,3.0,9,Baseline
2010-11-30,3.0,3.0,10,Baseline
2011-05-31,3.0,3.0,10,Baseline
2011-06-30,3.0,3.0,10,Baseline
2011-07-31,3.0,3.0,10,Baseline
2011-08-31,3.0,3.0,10,Baseline
2011-11-30,3.0,4.0,10,Baseline
2012-01-31,4.0,3.0,10,Baseline
2012-05-31,3.0,3.0,10,Baseline
2012-09-30,3.0,3.0,10,Baseline
2012-11-30,3.0,3.0,10,Baseline
2013-04-30,3.0,3.0,10,Baseline
2013-05-31,3.0,3.0,10,Baseline
2013-06-30,3.0,3.0,10,Baseline
2013-09-30,3.0,3.0,10,Baseline
2013-10-31,3.0,3.0,10,Baseline
2013-11-30,4.0,3.0,10,Baseline
2014-01-31,3.0,3.0,10,Baseline
2014-05-31,3.0,3.0,10,Baseline
2014-07-31,3.0,3.0,10,Baseline
2014-09-30,3.0,3.0,10,Baseline
2014-11-30,3.0,3.0,10,Baseline
2014-12-31,3.0,3.0,10,Baseline
2015-01-31,3.0,4.0,10,Baseline
2015-05-31,3.0,3.0,10,Baseline
2015-09-30,3.0,4.0,10,Baseline
2015-11-30,3.0,3.0,10,Baseline
2016-01-31,3.0,3.0,10,Baseline
2016-07-31,3.0,3.0,10,Baseline
2016-09-30,3.0,3.0,10,Baseline
2016-10-31,3.0,3.0,10,Baseline
2016-11-30,3.0,3.0,10,Baseline
2017-07-31,3.0,3.0,10,Baseline
2017-09-30,4.0,3.0,10,Baseline
2017-11-30,3.0,3.0,10,Baseline
2018-05-31,4.0,3.0,10,Baseline
2018-08-31,3.0,3.0,10,Baseline
2018-09-30,3.0,3.0,10,Baseline
2018-11-30,3.0,3.5,10,Baseline
2019-09-30,3.0,3.0,10,Baseline
