data_coleta,observado,previsao,lags,tecnica
2010-07-31,0.08,0.08,3,Baseline
2010-09-30,0.02,0.05,3,Baseline
2010-11-30,0.03,0.02,3,Baseline
2011-03-31,0.08,0.03,3,Baseline
2011-05-31,0.05,0.04,3,Baseline
2011-06-30,0.02,0.11,3,Baseline
2011-07-31,0.03,0.02,3,Baseline
2011-08-31,0.04,0.01,3,Baseline
2011-11-30,0.11,0.01,3,Baseline
2012-05-31,0.02,0.06,3,Baseline
2012-07-31,0.01,0.03,3,Baseline
2012-09-30,0.01,0.01,3,Baseline
2012-11-30,0.06,0.01,3,Baseline
2013-04-30,0.03,0.04,3,Baseline
2013-05-31,0.01,0.06,3,Baseline
2013-06-30,0.01,0.05,3,Baseline
2013-09-30,0.04,0.02,3,Baseline
2013-10-31,0.06,0.05,3,Baseline
2013-11-30,0.05,0.04,3,Baseline
2014-01-31,0.02,0.03,3,Baseline
2014-05-31,0.05,0.01,3,Baseline
2014-07-31,0.04,0.01,3,Baseline
2014-09-30,0.03,0.03,3,Baseline
2014-11-30,0.01,0.03,3,Baseline
2014-12-31,0.01,0.04,3,Baseline
2015-01-31,0.03,0.02,3,Baseline
2015-05-31,0.03,0.05,3,Baseline
2015-07-31,0.04,0.05,3,Baseline
2015-09-30,0.02,0.05,3,Baseline
2015-11-30,0.05,0.05,3,Baseline
2016-07-31,0.05,0.04,3,Baseline
2016-09-30,0.05,0.08,3,Baseline
2016-10-31,0.05,0.05,3,Baseline
2017-07-31,0.04,0.02,3,Baseline
2017-09-30,0.08,0.06,3,Baseline
2017-11-30,0.05,0.09,3,Baseline
2018-05-31,0.02,0.02,3,Baseline
2018-08-31,0.06,0.09,3,Baseline
2018-09-30,0.09,0.02,3,Baseline
2018-10-31,0.02,0.04,3,Baseline
2018-11-30,0.09,0.02,3,Baseline
2019-09-30,0.02,0.04,3,Baseline
2007-11-30,0.02,0.04,4,Baseline
2008-03-31,0.05,0.02,4,Baseline
2008-04-30,0.04,0.02,4,Baseline
2008-07-31,0.04,0.1,4,Baseline
2008-08-31,0.04,0.05,4,Baseline
2008-11-30,0.02,0.06,4,Baseline
2009-07-31,0.02,0.02,4,Baseline
2009-08-31,0.1,0.02,4,Baseline
2009-10-31,0.05,0.06,4,Baseline
2009-11-30,0.06,0.08,4,Baseline
2010-03-31,0.02,0.02,4,Baseline
2010-05-31,0.02,0.03,4,Baseline
2010-07-31,0.06,0.08,4,Baseline
2010-09-30,0.08,0.05,4,Baseline
2010-11-30,0.02,0.02,4,Baseline
2011-03-31,0.03,0.03,4,Baseline
2011-05-31,0.08,0.04,4,Baseline
2011-06-30,0.05,0.11,4,Baseline
2011-07-31,0.02,0.02,4,Baseline
2011-08-31,0.03,0.01,4,Baseline
2011-11-30,0.04,0.01,4,Baseline
2012-05-31,0.11,0.06,4,Baseline
2012-07-31,0.02,0.03,4,Baseline
2012-09-30,0.01,0.01,4,Baseline
2012-11-30,0.01,0.01,4,Baseline
2013-04-30,0.06,0.04,4,Baseline
2013-05-31,0.03,0.06,4,Baseline
2013-06-30,0.01,0.05,4,Baseline
2013-09-30,0.01,0.02,4,Baseline
2013-10-31,0.04,0.05,4,Baseline
2013-11-30,0.06,0.04,4,Baseline
2014-01-31,0.05,0.03,4,Baseline
2014-05-31,0.02,0.01,4,Baseline
2014-07-31,0.05,0.01,4,Baseline
2014-09-30,0.04,0.03,4,Baseline
2014-11-30,0.03,0.03,4,Baseline
2014-12-31,0.01,0.04,4,Baseline
2015-01-31,0.01,0.02,4,Baseline
2015-05-31,0.03,0.05,4,Baseline
2015-07-31,0.03,0.05,4,Baseline
2015-09-30,0.04,0.05,4,Baseline
2015-11-30,0.02,0.05,4,Baseline
2016-07-31,0.05,0.04,4,Baseline
2016-09-30,0.05,0.08,4,Baseline
2016-10-31,0.05,0.05,4,Baseline
2017-07-31,0.05,0.02,4,Baseline
2017-09-30,0.04,0.06,4,Baseline
2017-11-30,0.08,0.09,4,Baseline
2018-05-31,0.05,0.02,4,Baseline
2018-08-31,0.02,0.09,4,Baseline
2018-09-30,0.06,0.02,4,Baseline
2018-10-31,0.09,0.04,4,Baseline
2018-11-30,0.02,0.02,4,Baseline
2019-09-30,0.09,0.04,4,Baseline
2008-03-31,0.02,0.02,5,Baseline
2008-04-30,0.05,0.02,5,Baseline
2008-07-31,0.04,0.1,5,Baseline
2008-08-31,0.04,0.05,5,Baseline
2008-11-30,0.04,0.06,5,Baseline
2009-07-31,0.02,0.02,5,Baseline
2009-08-31,0.02,0.02,5,Baseline
2009-10-31,0.1,0.06,5,Baseline
2009-11-30,0.05,0.08,5,Baseline
2010-03-31,0.06,0.02,5,Baseline
2010-05-31,0.02,0.03,5,Baseline
2010-07-31,0.02,0.08,5,Baseline
2010-09-30,0.06,0.05,5,Baseline
2010-11-30,0.08,0.02,5,Baseline
2011-03-31,0.02,0.03,5,Baseline
2011-05-31,0.03,0.04,5,Baseline
2011-06-30,0.08,0.11,5,Baseline
2011-07-31,0.05,0.02,5,Baseline
2011-08-31,0.02,0.01,5,Baseline
2011-11-30,0.03,0.01,5,Baseline
2012-05-31,0.04,0.06,5,Baseline
2012-07-31,0.11,0.03,5,Baseline
2012-09-30,0.02,0.01,5,Baseline
2012-11-30,0.01,0.01,5,Baseline
2013-04-30,0.01,0.04,5,Baseline
2013-05-31,0.06,0.06,5,Baseline
2013-06-30,0.03,0.05,5,Baseline
2013-09-30,0.01,0.02,5,Baseline
2013-10-31,0.01,0.05,5,Baseline
2013-11-30,0.04,0.04,5,Baseline
2014-01-31,0.06,0.03,5,Baseline
2014-05-31,0.05,0.01,5,Baseline
2014-07-31,0.02,0.01,5,Baseline
2014-09-30,0.05,0.03,5,Baseline
2014-11-30,0.04,0.03,5,Baseline
2014-12-31,0.03,0.04,5,Baseline
2015-01-31,0.01,0.02,5,Baseline
2015-05-31,0.01,0.05,5,Baseline
2015-07-31,0.03,0.05,5,Baseline
2015-09-30,0.03,0.05,5,Baseline
2015-11-30,0.04,0.05,5,Baseline
2016-07-31,0.02,0.04,5,Baseline
2016-09-30,0.05,0.08,5,Baseline
2016-10-31,0.05,0.05,5,Baseline
2017-07-31,0.05,0.02,5,Baseline
2017-09-30,0.05,0.06,5,Baseline
2017-11-30,0.04,0.09,5,Baseline
2018-05-31,0.08,0.02,5,Baseline
2018-08-31,0.05,0.09,5,Baseline
2018-09-30,0.02,0.02,5,Baseline
2018-10-31,0.06,0.04,5,Baseline
2018-11-30,0.09,0.02,5,Baseline
2019-09-30,0.02,0.04,5,Baseline
2008-04-30,0.02,0.02,6,Baseline
2008-07-31,0.05,0.1,6,Baseline
2008-08-31,0.04,0.05,6,Baseline
2008-11-30,0.04,0.06,6,Baseline
2009-07-31,0.04,0.02,6,Baseline
2009-08-31,0.02,0.02,6,Baseline
2009-10-31,0.02,0.06,6,Baseline
2009-11-30,0.1,0.08,6,Baseline
2010-03-31,0.05,0.02,6,Baseline
2010-05-31,0.06,0.03,6,Baseline
2010-07-31,0.02,0.08,6,Baseline
2010-09-30,0.02,0.05,6,Baseline
2010-11-30,0.06,0.02,6,Baseline
2011-03-31,0.08,0.03,6,Baseline
2011-05-31,0.02,0.04,6,Baseline
2011-06-30,0.03,0.11,6,Baseline
2011-07-31,0.08,0.02,6,Baseline
2011-08-31,0.05,0.01,6,Baseline
2011-11-30,0.02,0.01,6,Baseline
2012-05-31,0.03,0.06,6,Baseline
2012-07-31,0.04,0.03,6,Baseline
2012-09-30,0.11,0.01,6,Baseline
2012-11-30,0.02,0.01,6,Baseline
2013-04-30,0.01,0.04,6,Baseline
2013-05-31,0.01,0.06,6,Baseline
2013-06-30,0.06,0.05,6,Baseline
2013-09-30,0.03,0.02,6,Baseline
2013-10-31,0.01,0.05,6,Baseline
2013-11-30,0.01,0.04,6,Baseline
2014-01-31,0.04,0.03,6,Baseline
2014-05-31,0.06,0.01,6,Baseline
2014-07-31,0.05,0.01,6,Baseline
2014-09-30,0.02,0.03,6,Baseline
2014-11-30,0.05,0.03,6,Baseline
2014-12-31,0.04,0.04,6,Baseline
2015-01-31,0.03,0.02,6,Baseline
2015-05-31,0.01,0.05,6,Baseline
2015-07-31,0.01,0.05,6,Baseline
2015-09-30,0.03,0.05,6,Baseline
2015-11-30,0.03,0.05,6,Baseline
2016-07-31,0.04,0.04,6,Baseline
2016-09-30,0.02,0.08,6,Baseline
2016-10-31,0.05,0.05,6,Baseline
2017-07-31,0.05,0.02,6,Baseline
2017-09-30,0.05,0.06,6,Baseline
2017-11-30,0.05,0.09,6,Baseline
2018-05-31,0.04,0.02,6,Baseline
2018-08-31,0.08,0.09,6,Baseline
2018-09-30,0.05,0.02,6,Baseline
2018-10-31,0.02,0.04,6,Baseline
2018-11-30,0.06,0.02,6,Baseline
2019-09-30,0.09,0.04,6,Baseline
2008-07-31,0.02,0.1,7,Baseline
2008-08-31,0.05,0.05,7,Baseline
2008-11-30,0.04,0.06,7,Baseline
2009-07-31,0.04,0.02,7,Baseline
2009-08-31,0.04,0.02,7,Baseline
2009-10-31,0.02,0.06,7,Baseline
2009-11-30,0.02,0.08,7,Baseline
2010-03-31,0.1,0.02,7,Baseline
2010-05-31,0.05,0.03,7,Baseline
2010-07-31,0.06,0.08,7,Baseline
2010-09-30,0.02,0.05,7,Baseline
2010-11-30,0.02,0.02,7,Baseline
2011-03-31,0.06,0.03,7,Baseline
2011-05-31,0.08,0.04,7,Baseline
2011-06-30,0.02,0.11,7,Baseline
2011-07-31,0.03,0.02,7,Baseline
2011-08-31,0.08,0.01,7,Baseline
2011-11-30,0.05,0.01,7,Baseline
2012-05-31,0.02,0.06,7,Baseline
2012-07-31,0.03,0.03,7,Baseline
2012-09-30,0.04,0.01,7,Baseline
2012-11-30,0.11,0.01,7,Baseline
2013-04-30,0.02,0.04,7,Baseline
2013-05-31,0.01,0.06,7,Baseline
2013-06-30,0.01,0.05,7,Baseline
2013-09-30,0.06,0.02,7,Baseline
2013-10-31,0.03,0.05,7,Baseline
2013-11-30,0.01,0.04,7,Baseline
2014-01-31,0.01,0.03,7,Baseline
2014-05-31,0.04,0.01,7,Baseline
2014-07-31,0.06,0.01,7,Baseline
2014-09-30,0.05,0.03,7,Baseline
2014-11-30,0.02,0.03,7,Baseline
2014-12-31,0.05,0.04,7,Baseline
2015-01-31,0.04,0.02,7,Baseline
2015-05-31,0.03,0.05,7,Baseline
2015-07-31,0.01,0.05,7,Baseline
2015-09-30,0.01,0.05,7,Baseline
2015-11-30,0.03,0.05,7,Baseline
2016-07-31,0.03,0.04,7,Baseline
2016-09-30,0.04,0.08,7,Baseline
2016-10-31,0.02,0.05,7,Baseline
2017-07-31,0.05,0.02,7,Baseline
2017-09-30,0.05,0.06,7,Baseline
2017-11-30,0.05,0.09,7,Baseline
2018-05-31,0.05,0.02,7,Baseline
2018-08-31,0.04,0.09,7,Baseline
2018-09-30,0.08,0.02,7,Baseline
2018-10-31,0.05,0.04,7,Baseline
2018-11-30,0.02,0.02,7,Baseline
2019-09-30,0.06,0.04,7,Baseline
2008-08-31,0.02,0.05,8,Baseline
2008-11-30,0.05,0.06,8,Baseline
2009-07-31,0.04,0.02,8,Baseline
2009-08-31,0.04,0.02,8,Baseline
2009-10-31,0.04,0.06,8,Baseline
2009-11-30,0.02,0.08,8,Baseline
2010-03-31,0.02,0.02,8,Baseline
2010-05-31,0.1,0.03,8,Baseline
2010-07-31,0.05,0.08,8,Baseline
2010-09-30,0.06,0.05,8,Baseline
2010-11-30,0.02,0.02,8,Baseline
2011-03-31,0.02,0.03,8,Baseline
2011-05-31,0.06,0.04,8,Baseline
2011-06-30,0.08,0.11,8,Baseline
2011-07-31,0.02,0.02,8,Baseline
2011-08-31,0.03,0.01,8,Baseline
2011-11-30,0.08,0.01,8,Baseline
2012-05-31,0.05,0.06,8,Baseline
2012-07-31,0.02,0.03,8,Baseline
2012-09-30,0.03,0.01,8,Baseline
2012-11-30,0.04,0.01,8,Baseline
2013-04-30,0.11,0.04,8,Baseline
2013-05-31,0.02,0.06,8,Baseline
2013-06-30,0.01,0.05,8,Baseline
2013-09-30,0.01,0.02,8,Baseline
2013-10-31,0.06,0.05,8,Baseline
2013-11-30,0.03,0.04,8,Baseline
2014-01-31,0.01,0.03,8,Baseline
2014-05-31,0.01,0.01,8,Baseline
2014-07-31,0.04,0.01,8,Baseline
2014-09-30,0.06,0.03,8,Baseline
2014-11-30,0.05,0.03,8,Baseline
2014-12-31,0.02,0.04,8,Baseline
2015-01-31,0.05,0.02,8,Baseline
2015-05-31,0.04,0.05,8,Baseline
2015-07-31,0.03,0.05,8,Baseline
2015-09-30,0.01,0.05,8,Baseline
2015-11-30,0.01,0.05,8,Baseline
2016-07-31,0.03,0.04,8,Baseline
2016-09-30,0.03,0.08,8,Baseline
2016-10-31,0.04,0.05,8,Baseline
2017-07-31,0.02,0.02,8,Baseline
2017-09-30,0.05,0.06,8,Baseline
2017-11-30,0.05,0.09,8,Baseline
2018-05-31,0.05,0.02,8,Baseline
2018-08-31,0.05,0.09,8,Baseline
2018-09-30,0.04,0.02,8,Baseline
2018-10-31,0.08,0.04,8,Baseline
2018-11-30,0.05,0.02,8,Baseline
2019-09-30,0.02,0.04,8,Baseline
2008-11-30,0.02,0.06,9,Baseline
2009-07-31,0.05,0.02,9,Baseline
2009-08-31,0.04,0.02,9,Baseline
2009-10-31,0.04,0.06,9,Baseline
2009-11-30,0.04,0.08,9,Baseline
2010-03-31,0.02,0.02,9,Baseline
2010-05-31,0.02,0.03,9,Baseline
2010-07-31,0.1,0.08,9,Baseline
2010-09-30,0.05,0.05,9,Baseline
2010-11-30,0.06,0.02,9,Baseline
2011-03-31,0.02,0.03,9,Baseline
2011-05-31,0.02,0.04,9,Baseline
2011-06-30,0.06,0.11,9,Baseline
2011-07-31,0.08,0.02,9,Baseline
2011-08-31,0.02,0.01,9,Baseline
2011-11-30,0.03,0.01,9,Baseline
2012-05-31,0.08,0.06,9,Baseline
2012-07-31,0.05,0.03,9,Baseline
2012-09-30,0.02,0.01,9,Baseline
2012-11-30,0.03,0.01,9,Baseline
2013-04-30,0.04,0.04,9,Baseline
2013-05-31,0.11,0.06,9,Baseline
2013-06-30,0.02,0.05,9,Baseline
2013-09-30,0.01,0.02,9,Baseline
2013-10-31,0.01,0.05,9,Baseline
2013-11-30,0.06,0.04,9,Baseline
2014-01-31,0.03,0.03,9,Baseline
2014-05-31,0.01,0.01,9,Baseline
2014-07-31,0.01,0.01,9,Baseline
2014-09-30,0.04,0.03,9,Baseline
2014-11-30,0.06,0.03,9,Baseline
2014-12-31,0.05,0.04,9,Baseline
2015-01-31,0.02,0.02,9,Baseline
2015-05-31,0.05,0.05,9,Baseline
2015-07-31,0.04,0.05,9,Baseline
2015-09-30,0.03,0.05,9,Baseline
2015-11-30,0.01,0.05,9,Baseline
2016-07-31,0.01,0.04,9,Baseline
2016-09-30,0.03,0.08,9,Baseline
2016-10-31,0.03,0.05,9,Baseline
2017-07-31,0.04,0.02,9,Baseline
2017-09-30,0.02,0.06,9,Baseline
2017-11-30,0.05,0.09,9,Baseline
2018-05-31,0.05,0.02,9,Baseline
2018-08-31,0.05,0.09,9,Baseline
2018-09-30,0.05,0.02,9,Baseline
2018-10-31,0.04,0.04,9,Baseline
2018-11-30,0.08,0.02,9,Baseline
2019-09-30,0.05,0.04,9,Baseline
2009-07-31,0.02,0.02,10,Baseline
2009-08-31,0.05,0.02,10,Baseline
2009-10-31,0.04,0.06,10,Baseline
2009-11-30,0.04,0.08,10,Baseline
2010-03-31,0.04,0.02,10,Baseline
2010-05-31,0.02,0.03,10,Baseline
2010-07-31,0.02,0.08,10,Baseline
2010-09-30,0.1,0.05,10,Baseline
2010-11-30,0.05,0.02,10,Baseline
2011-03-31,0.06,0.03,10,Baseline
2011-05-31,0.02,0.04,10,Baseline
2011-06-30,0.02,0.11,10,Baseline
2011-07-31,0.06,0.02,10,Baseline
2011-08-31,0.08,0.01,10,Baseline
2011-11-30,0.02,0.01,10,Baseline
2012-05-31,0.03,0.06,10,Baseline
2012-07-31,0.08,0.03,10,Baseline
2012-09-30,0.05,0.01,10,Baseline
2012-11-30,0.02,0.01,10,Baseline
2013-04-30,0.03,0.04,10,Baseline
2013-05-31,0.04,0.06,10,Baseline
2013-06-30,0.11,0.05,10,Baseline
2013-09-30,0.02,0.02,10,Baseline
2013-10-31,0.01,0.05,10,Baseline
2013-11-30,0.01,0.04,10,Baseline
2014-01-31,0.06,0.03,10,Baseline
2014-05-31,0.03,0.01,10,Baseline
2014-07-31,0.01,0.01,10,Baseline
2014-09-30,0.01,0.03,10,Baseline
2014-11-30,0.04,0.03,10,Baseline
2014-12-31,0.06,0.04,10,Baseline
2015-01-31,0.05,0.02,10,Baseline
2015-05-31,0.02,0.05,10,Baseline
2015-07-31,0.05,0.05,10,Baseline
2015-09-30,0.04,0.05,10,Baseline
2015-11-30,0.03,0.05,10,Baseline
2016-07-31,0.01,0.04,10,Baseline
2016-09-30,0.01,0.08,10,Baseline
2016-10-31,0.03,0.05,10,Baseline
2017-07-31,0.03,0.02,10,Baseline
2017-09-30,0.04,0.06,10,Baseline
2017-11-30,0.02,0.09,10,Baseline
2018-05-31,0.05,0.02,10,Baseline
2018-08-31,0.05,0.09,10,Baseline
2018-09-30,0.05,0.02,10,Baseline
2018-10-31,0.05,0.04,10,Baseline
2018-11-30,0.04,0.02,10,Baseline
2019-09-30,0.08,0.04,10,Baseline
